Node	1	2	3	4	5	6	7	8	9
17090	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17091	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17092	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17093	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17094	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17095	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17096	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17097	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17098	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17099	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17100	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17101	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17102	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17103	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17104	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17105	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17106	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17107	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
